urn,name,address1,address2,town,postcode,p8mea
139410,St Andrew the Apostle Greek Orthodox School,North London Business Park,,London,N11 1NP,0.4
101364,St James' Catholic High School,Great Strand,Colindale,London,NW9 5PE,0.32
103119,St Mary's and St John's CofE School,Bennett House,Sunningfields Road,London,NW4 4QR,0.43
101361,St Michael's Catholic Grammar School,Nether Street,North Finchley,London,N12 7NJ,0.98
145921,Saracens High School,Corner Mead,,London,NW9 4AS,0.42
144502,The Totteridge Academy,Barnet Lane,Barnet,London,N20 8AZ,1.32
137361,Whitefield School,Claremont Road,Cricklewood,London,NW2 1TR,0.44
135507,Wren Academy Finchley,Hilton Avenue,North Finchley,London,N12 9HB,0.85
136334,Beths Grammar School,Hartford Road,,Bexley,DA5 1NE,0.53
136369,Bexley Grammar School,Danson Lane,,Welling,DA16 2BL,0.49
137138,Bexleyheath Academy,Woolwich Road,,Bexleyheath,DA6 7DA,-0.42
137965,Blackfen School for Girls,Blackfen Road,,Sidcup,DA15 9NU,-0.14
137423,Chislehurst and Sidcup Grammar School,Hurst Road,,Sidcup,DA15 9AG,0.82
138686,Cleeve Park School,Bexley Lane,,Sidcup,DA14 4JN,-0.19
135951,Haberdashers' Crayford Academy,Iron Mill Lane,Crayford,Dartford,DA1 4RS,-0.13
135677,Harris Academy Falconwood,The Green,,Welling,DA16 2PE,-0.02
145140,Harris Garrard Academy,Yarnton Way,Thamesmead,Erith,DA18 4DW,0.54
149898,Leigh Academy Bexley,Avenue Road,,Erith,DA8 3BN,-0.95
137681,St Catherine's Catholic School,Watling Street,,Bexleyheath,DA6 7QJ,0.75
138650,St Columba's Catholic Boys' School,Halcot Avenue,,Bexleyheath,DA6 7QB,0.04
137769,Townley Grammar School,Townley Road,,Bexleyheath,DA6 7AB,0.66
136538,"Trinity Church of England School, Belvedere",Erith Road,,Belvedere,DA17 6HT,-0.54
136720,Welling School,Elsa Road,,Welling,DA16 1LB,-0.82
138610,Alperton Community School,Stanley Avenue,,Wembley,HA0 4JE,0.79
135600,Ark Academy,Forty Avenue,,Wembley,HA9 9JR,0.45
141019,Ark Elvin Academy,Cecil Avenue,Wembley,London,HA9 7DU,0.35
136656,Claremont High School,Claremont Avenue,Kenton,Harrow,HA3 0UH,0.59
135973,E-ACT Crest Academy,Crest Road,,London,NW2 7SN,-0.03
134226,Harris Lowe Academy Willesden,Doyle Gardens,Willesden,London,NW10 3ST,0.23
133724,JFS,,Kenton,Harrow,HA3 9TE,1.16
137685,Kingsbury High School,Princes Avenue,Kingsbury,London,NW9 9JR,0.36
140862,Michaela Community School,North End Road,Wembley,London,HA9 0UU,2.56
101564,Newman Catholic College,Harlesden Road,Brent,London,NW10 3RN,-0.21
139319,Preston Manor School,Carlton Avenue East,,Wembley,HA9 8NA,0.25
138609,Queens Park Community School,Aylestone Avenue,,London,NW6 7BQ,0.08
137994,Saint Claudine's Catholic School for Girls,Crownhill Road,,London,NW10 4EP,0.8
142560,St Gregory's Catholic Science College,Donnington Road,Kenton,Harrow,HA3 0NB,0.73
138457,Wembley High Technology College,East Lane,,North Wembley,HA0 3NT,1.43
136466,Bishop Justus CofE School,Magpie Hall Lane,,Bromley,BR2 8HZ,-0.68
136709,Bullers Wood School,St Nicolas Lane,Logs Hill,Chislehurst,BR7 5LJ,0.37
145868,Bullers Wood School for Boys,Chislehurst Road,,Bromley,BR1 2NW,0
136467,Chislehurst School for Girls,Beaverwood Road,Perry Street,Chislehurst,BR7 6HE,0.18
136355,Darrick Wood School,Lovibonds Avenue,,Orpington,BR6 8ER,0
137121,Harris Academy Beckenham,Manor Way,,Beckenham,BR3 3SJ,0.38
143427,Harris Academy Orpington,Tintagel Road,Orpington,,BR5 4LG,0.15
137379,Harris Girls Academy Bromley,Lennard Road,,Beckenham,BR3 1QR,0.99
136644,Hayes School,West Common Road,Hayes,Bromley,BR2 7DB,0.09
136281,Kemnal Technology College,Sevenoaks Way,,Sidcup,DA14 5AA,-0.92
136586,Langley Park School for Boys,South Eden Park Road,,Beckenham,BR3 3BP,0.4
137006,Langley Park School for Girls,Hawksbrook Lane,South Eden Park Road,Beckenham,BR3 3BE,0.4
136551,Newstead Wood School,Avebury Road,,Orpington,BR6 9SA,1.05
136464,Orion Coopers,Hawkwood Lane,,Chislehurst,BR7 5PS,-0.38
144465,Orion Eden Park,Balmoral Avenue,,Beckenham,BR3 3RD,-0.56
136517,Ravens Wood School,Oakley Road,,Bromley,BR2 8HP,-0.13
136540,The Ravensbourne School,Hayes Lane,,Bromley,BR2 9EH,0.11
101676,St Olave's and St Saviour's Grammar School,Goddington Lane,,Orpington,BR6 9SH,1.27
141210,The Archbishop Lanfranc Academy,Mitcham Road,,Croydon,CR9 3AS,0.1
101811,Archbishop Tenison's CofE High School,Selborne Road,,Croydon,CR0 5JQ,-0.18
101849,BRIT School for Performing Arts and Technology,60 The Crescent,Selhurst,Croydon,CR0 2HN,-0.36
149347,Coloma Convent Girls' School,Upper Shirley Road,,Croydon,CR9 5AS,0.52
145875,Coombe Wood School,30 Melville Avenue,,South Croydon,CR2 7HY,0.38
150055,Harris Academy Beulah Hill,Spurgeon Road,,London,SE19 3UG,0
135955,Harris Academy Purley,Kendra Hall Road,,South Croydon,CR2 6DT,0.23
135249,Harris Academy South Norwood,Cumberlow Avenue,,London,SE25 6AE,0.45
135311,Harris City Academy Crystal Palace,Maberley Road,Upper Norwood,London,SE19 2JH,0.24
140952,Harris Invictus Academy Croydon,88 London Road,,Croydon,CR0 2TB,-0.1
